Food Id,Food Name,Carbs,Protein,,,,,
679,Groundnut roasted,26.7,26.2,,,,,
684,Pistachio nut,16.2,19.8,,,,,
688,Walnut,11,15.6,,,,,
697,Pumpkin seed,14.71,29.84,,,,,
708,Chillies green,3,2.9,,,,,
713,Cumin seeds,36.6,18.7,,,,,
716,Ginger fresh,12.3,2.3,,,,,
732,Apple,13.4,0.2,,,,,
733,Apricot fresh,11.6,1,,,,,
734,Apricot dry,73.4,1.6,,,,,
735,Avocado pear,1.75,2.95,,,,,
737,Banana,ripe,27.2,1.23,,,,
741,Bullock's heart,15.7,1.4,,,,,
746,Dates dried,75.8,2.5,,,,,
750,Grapes pale green variety,16.5,0.5,,,,,
758,Jambu Fruit,14,0.7,,,,,
761,Lemon,11.1,1,,,,,
770,Mango,ripe,16.9,0.6,,,,
772,Melon,musk,3.5,0.3,,,,
773,Melon,water,3.3,0.2,,,,
775,Orange,10.8989,0.7,,,,,
779,Papaya,ripe,7.2,0.6,,,,
782,Peach,10.5,1.2,,,,,
783,Pears,11.9,0.6,,,,,
787,Plum,11.1,0.7,,,,,
792,Raisins,74.6,1.8,,,,,
793,Raspberry,11.7,1,,,,,
795,Sapota,21.4,0.7,,,,,
798,Tomato,ripe,3.6,0.9,,,,
802,Zizyphus,17,0.8,,,,,
805,Black berry,6.7,1.3,,,,,
827,Sirk,33.3,3.2,,,,,
841,Bhangan Bata,6.7,19.4,,,,,
920,Beef muscle,0,22.6,,,,,
924,Egg,hen,2,13.3,,,,
929,Fowl,0,25.9,,,,,
952,cow's Milk,,,,,,,
,4.4,3.2,,,,,,
955,Curds (cow's milk),3,3.1,,,,,
958,Skimmed milk,liquid,4.6,2.5,,,,
959,Paneer (Cow's),1.2,18.3,,,,,
960,Paneer (Buffalo's),7.9,13.4,,,,,
961,Cheese,6.3,24.1,,,,,
968,Ghee (cow),0,0,,,,,
973,Cooking oil (groundnut,gingelly,palmolein,mustard,coconut,etc),0,0
979,Olive oil,0,0,,,,,
987,Sugar,100,0,,,,,
988,Honey,79.5,0.3,,,,,
1006,Daincha seeds,45.1,28.1,,,,,
1008,Oatmeal,62.8,13.6,,,,,
1043,Perandai,7.3,1.2,,,,,
1075,Artichoke,16,3.6,,,,,
1082,Mushroom,3.26,3.09,,,,,
1108,Cheese,cottage,lowfat,1% milkfat,2.72,12.39,,
1198,Yogurt,plain,skim milk,13 grams protein per 8 ounce,7.68,5.73,,
1204,Egg,white,raw,fresh,0.73,10.9,,
1209,Egg,whole,cooked,hard-boiled,1.12,12.58,,
1234,Cheese substitute,mozzarella,23.67,11.47,,,,
1729,Fat,mutton tallow,0,0,,,,
1961,Chicken,broilers or fryers,wing,meat and skin,raw,0,17.52,
2670,Sauce,peppers,hot,chili,mature red,canned,3.9,0.9
3358,Blueberries,raw,14.49,0.74,,,,
3393,Figs,Raw,19.18,0.75,,,,
3438,Guavas,Common,Raw,14.32,2.55,,,
3441,Jackfruit,raw,23.25,1.72,,,,
3445,Kiwifruit,green,raw,14.66,1.14,,,
3464,Melons,cantaloupe,raw,8.16,0.84,,,
3504,Peach,Raw,9.54,0.91,,,,
3552,Pomegranates,raw,18.7,1.67,,,,
3586,Watermelon,raw,7.55,0.61,,,,
4031,Broccoli,raw,6.64,2.82,,,,
4060,Carrots,raw,9.58,0.93,,,,
4236,Poi,27.23,0.38,,,,,
4390,Tomato products,canned,sauce,5.31,1.2,,,
4758,Fiddlehead ferns,raw,5.54,4.55,,,,
4765,Seeds,Chia Seeds,Dried,42.12,16.54,,,
4820,Nuts,hazelnuts or filberts,16.7,14.95,,,,
4867,Seeds,flaxseed,28.88,18.29,,,,
5311,Carbonated beverage,club soda,0,0,,,,
5853,Lentils,raw,60.08,25.8,,,,
5892,Soybeans,mature cooked,boiled,without salt,8.36,18.21,,
6063,Tofu Plain,2.78,17.27,,,,,
6541,Bread,wheat,49.46,10.37,,,,
6617,Cookies,coconut macaroons,prepared from recipe,72.2,3.6,,,
6770,amla juice,45.1,7.3,,,,,
6960,Bread,pan dulce,sweet yeast bread,56.38,9.42,,,
7012,Snacks,popcorn,air-popped,77.9,12.94,,,
7333,Jams and preserves,apricot,64.4,0.7,,,,
7412,Bulgur,cooked,18.58,3.08,,,,
7432,Quinoa,uncooked,64.16,14.12,,,,
7435,Oats,62.8,13.6,,,,,
8796,Cereals ready-to-eat,MUESLI,dried fruit and nuts,77.8,9.7,,,
9107,Panchratni Dal,14.91873695,5.817619137,,,,,
9115,Kadi,3.447003339,1.898747913,,,,,
9116,Sambar,6.214077952,2.13248982,,,,,
9142,Paneer Bhurji,3.175094715,11.7141457,,,,,
9150,Egg Bhujia,4.905799507,5.396646863,,,,,
9161,Bhindi Bhaji,7.068384511,1.755093106,,,,,
9176,Pasta in Tomato sauce,18.02534055,3.634386749,,,,,
9190,Strawberry cheese Cake,22.72846137,6.363511758,,,,,
9227,Keema Matar,4.57851833,7.900014454,,,,,
9231,Rohu Fish Curry,4.298717649,5.263144703,,,,,
9232,Channa Masala,20.97799736,6.344175346,,,,,
9235,Grilled Chicken,0.9435554122,19.99128999,,,,,
9258,Cucumber Raita,3.491680539,2.198931774,,,,,
9267,Mausami Juice,8.092207792,0.6961038961,,,,,
9268,Apple Kiwi Juice,14.22173913,0.8130434783,,,,,
9285,Moong Dal Cheela,25.5825556,10.40555244,,,,,
9288,Matar Palak,14.72193689,4.400969586,,,,,
9299,Chocolate Cake,50.31270865,3.437014896,,,,,
9301,Chocolate Brownie,57.31732089,6.399356949,,,,,
9305,Ghiya Ki Subzi,3.681108609,0.6431456456,,,,,
9306,Watermelon Juice,7.49905601,0.1913152926,,,,,
9312,Mutton Biryani,14.19335185,7.00411002,,,,,
9314,Palak Parantha,39.50253878,7.342453434,,,,,
9316,Beans Dry,6.458230797,2.154852566,,,,,
9341,Omelette- Egg Whole,3.953188055,9.740920097,,,,,
9342,Omelette (Egg whites),0.8194552529,9.518806744,,,,,
9355,Sauted Vegetables,5.547916885,3.341026716,,,,,
9376,Paneer Parantha,30.11883669,11.53566694,,,,,
9378,Chicken Fry,1.485615506,20.91179272,,,,,
9385,Chicken Salad,9.315552927,5.700561798,,,,,
9397,Mixed vegetable raita,3.652622076,2.701581453,,,,,
9409,Garlic Naan,31.22273957,4.723142446,,,,,
9412,Butter Naan,42.54538141,6.902289183,,,,,
9446,Coca Cola,11,0,,,,,
9537,Maggi Masala,2 minu,63.5,8,,,,
9551,Oreo,70.7,5.3,,,,,
9553,Marie Gold,Britannia,78.9,8.4,,,,
9562,Ragi Dosa,24.50507737,4.622823985,,,,,
9565,Paneer Cutlet,9.905715464,12.41434639,,,,,
9567,Fried Rice,17.43921003,2.154622104,,,,,
9572,Black Coffee,0.1637450199,0.04860557769,,,,,
9586,Rasam,6.148606801,2.349321498,,,,,
9590,Coffee with milk and sugar,8.915872494,2.465658889,,,,,
9592,Rajmah Curry,10.12585527,3.49510647,,,,,
9594,Tea with milk,without sugar,2.885136612,1.730218579,,,,
9606,Kosambari Salad,16.60690416,5.924035326,,,,,
9622,Mysore Pak,51.62238881,4.496151924,,,,,
9623,Ragi Mudde,14.25742574,1.445544554,,,,,
9624,Grilled Paneer Sandwich,31.50793217,10.85728665,,,,,
9628,Channa Sundal,19.14439537,5.517697266,,,,,
9631,Plain Kulcha,35.30951697,5.409723469,,,,,
9864,test,0,0,,,,,
9869,Pesarattu,24.02828021,10.19139752,,,,,
9876,Pav,60,7.36,,,,,
9883,Neer Dosa,20.90996169,2.044650752,,,,,
9892,Lime soda with sugar,4.48327724,0.06736432478,,,,,
9903,Vegetable Jalfrezi,9.486596327,1.504715384,,,,,
9909,Idiappam,23.36413592,1.734888415,,,,,
9911,Nutrela Nuggets,33,52,,,,,
9932,Cornflakes,Kellogg's,87,6.666666667,,,,
9979,Gothambu dosa,13.38308142,2.395999623,,,,,
10011,Manxo Torkari,5.621505185,9.506434761,,,,,
10016,Channa Doss,35.15422486,4.519642319,,,,,
10040,Chicken Momos,33.66980052,9.265602775,,,,,
10135,Boiled Brown Rice,21.68345979,2.228983308,,,,,
10155,Vindalho de Carne de Porco,2.443101463,9.622047877,,,,,
10184,Murukku,37.99784546,8.327605162,,,,,
10198,Haddar Yakkhn,4.796667066,2.5016834,,,,,
10211,Boondi Laddo,51.99034019,5.111297774,,,,,
10230,Panchakadai,38.83255198,4.608577645,,,,,
10271,Tequila,0,0,,,,,
10298,Plain Toast,51.9,7.8,,,,,
10309,Greek Salad,4.099691839,2.865518117,,,,,
10310,Tomato Cucumber Salad,3.863674385,0.749617464,,,,,
10312,Pad Thai,15.6009063,4.989572359,,,,,
10351,Green tea without milk (sugar free),0,0,,,,,
10352,green tea (with sugar),2.508038585,0.192926045,,,,,
10354,Poha,26.81461604,2.557186837,,,,,
10360,boiled egg white,0.73,10.9,,,,,
10361,Tomato Onion Salad,8.049126069,1.492850502,,,,,
10370,rice puttu 1,33.87442817,2.878694423,,,,,
10374,soya milk unsweetened,6.28,3.26,,,,,
10387,Sunny side up,1.834862385,12.20183486,,,,,
10388,Kerela fish curry,3.306644278,9.875327382,,,,,
10406,sprouts chaat,5.985266148,2.037983204,,,,,
10460,Paniyaram,22.68256619,3.780427699,,,,,
10464,Apple Shake,7.81221374,2.06259542,,,,,
10480,Beef steak,0.2490865067,21.79267004,,,,,
10512,Radish Sambar,7.680640524,2.694694273,,,,,
10515,Pesto Sauce,4.698654723,7.550675896,,,,,
10522,Vegetable Dalia,11.86107567,2.048564014,,,,,
10533,Chicken Burger,23.54367939,9.943466382,,,,,
10540,Khajla,43.49342105,6.439086687,,,,,
10558,Oats Dosa,22.1947828,3.231530857,,,,,
10560,Tomato Curry,6.965676443,1.053994324,,,,,
10571,Appalam,34.50333125,3.050988497,,,,,
10603,Malabar Parantha,42.03967272,6.22249725,,,,,
10616,Wheat and Oat Bran Roti,37.38688669,7.113531353,,,,,
10634,Vegetable Burger,22.71181147,2.635207269,,,,,
10637,Plain Parantha without oil,47.86206897,8.344827586,,,,,
10714,Nasi Goreng,16.38274796,6.546017529,,,,,
10760,Kissan,Mixed Fruit Jam,70.5,0.5,,,,
10819,Death by Chocolate,34.84848485,4.545454545,,,,,
10834,Onion Tomato Chutney,5.981358225,1.183825758,,,,,
10882,undhiyu,15.35924024,3.041719502,,,,,
10953,Brinjal Curry,6.555542692,2.181910275,,,,,
11165,Seer fish fry,0.7660607339,19.1518895,,,,,
11192,OAt Muesli Porridge,11.7959854,4.037591241,,,,,
11197,Onion Rava Dosa,23.96700302,2.370046731,,,,,
11239,Bitter Gourd Curry,5.790828083,1.58390039,,,,,
11249,Samosa,32.21,4.67,,,,,
11267,Cucumber Onion Salad,5.024831861,0.7423249374,,,,,
11297,Apple Juice,6.42021978,0.09582417582,,,,,
11298,Parantha,0,0,,,,,
11300,Ghee Dosa,26.23376623,4.32034632,,,,,
11322,Egg Biryani,17.12697201,3.339844205,,,,,
11334,Garlic Chutney,18.06041667,3.970486111,,,,,
11514,Banana Milkshake,11.71525424,2.602259887,,,,,
11526,Curd (Skimmed Milk),5.8,4.4,,,,,
11553,Lemon Barley Water,13.37559184,0.9847346939,,,,,
11564,Besan Palak Cheela,16.9263364,6.646715856,,,,,
11590,Rajmah potato curry,17.51001254,4.46521589,,,,,
11606,Mixed Sprouts,20.67278302,8.052223059,,,,,
11625,Palak Saag,3.465774336,1.902415929,,,,,
11632,black tea with sugar,1.856624932,0.07701143168,,,,,
11685,chicken boiled with turmeric and salt,0.1126368081,24.52075856,,,,,
11716,Isabgol,88.88888889,0,,,,,
11784,roasted kala chana,68.68,14.35,,,,,
11795,tom yum soup,3.44404954,3.061746452,,,,,
11854,Khichdi Masoor dal with vegetables and chicken,16.52440764,4.023349436,,,,,
11868,fara,36.33626573,7.037320614,,,,,
11882,Vegetable Idli,45.95032697,5.899221141,,,,,
11885,Roasted Salted Makhana,63.97524002,8.263643254,,,,,
11906,Sindhi Koki,26.98221148,9.6669777,,,,,
11944,galaxy milk chocolate,plain,55.7,6.7,,,,
12009,Mixed  dry Fruits,40.41714286,12.06428571,,,,,
12031,Nasi Lemak,24.14618998,2.609263205,,,,,
12113,Mooli paratha without oil,30.58813629,5.580968801,,,,,
12132,Vegetable pasta made with olive oil,22.08320374,4.361317495,,,,,
12141,Chicken Chukka,2.732848813,12.19263772,,,,,
12154,Tea without milk and sugar,0.1727471603,0.05951619689,,,,,
12159,Sauted Maggie,17.32161345,2.511193277,,,,,
12260,Chicken Keema Parantha,19.72558725,7.109730595,,,,,
12262,green apple,14.28571429,0,,,,,
12287,Barracuda Fish Kulambu,3.855568258,11.34295238,,,,,
12340,Egg white scramble,1.550354251,9.487246964,,,,,
12343,Multigrain Bread Boiled Egg White Sandwich,19.1212985,11.40593824,,,,,
12361,Lukewarm Lemon water,0.2873837444,0.01457743631,,,,,
12402,Soya Bhurji,9.520639053,7.740832347,,,,,
12410,Singapore noodles,14.8240489,4.097467881,,,,,
12419,Dalia Khichdi,12.45657276,3.614296717,,,,,
12463,Pol Sambol,12.68894853,4.087597095,,,,,
12503,Boiled Chana,27.74487472,7.790432802,,,,,
12616,Paneer Tikka,2.518087586,15.75362122,,,,,
12626,Amul,Cheese Cube,1.5,20,,,,
12854,Aloo Poha,22.36359006,2.084399973,,,,,
12859,Tori Sabji,3.599166035,0.7303639121,,,,,
12911,Almond Croissant,30.20897003,5.8231204,,,,,
12986,Tendli Sabji,4.07919045,1.414214341,,,,,
13106,Spaghetti Carbonara,18.09388402,7.819695412,,,,,
13107,Domino's Farmhouse,Regular Crust Pizza,30,9.518072289,,,,
13109,Appam,19.68939891,2.757595628,,,,,
13133,Chicken soup,2.592131929,4.786151401,,,,,
13215,Beetroot and Carrot Salad,9.58121205,1.188726063,,,,,
13221,Red Chilli Chutney,9.89326572,2.314651792,,,,,
13339,Millet Rice,17.12403952,1.427003293,,,,,
13346,Kinnow Mandarin,10.09174312,0.9174311927,,,,,
13559,Tomato And Radish Salad,3.803129514,0.8356523832,,,,,
13566,Mooli Tamatar Salad,4.30047619,0.95,,,,,
13574,Grilled Tomato Sandwich( No Cheese),18.81046676,3.101838755,,,,,
13612,Boiled Red Rice,19.15805825,2.071456311,,,,,
13619,Sauteed Paneer,1.885446009,15.60071362,,,,,
13641,Lemon Tea With Sugar,2.202909526,0.2473694699,,,,,
13683,Tomato Onion Cucumber Salad,6.295842956,1.157534642,,,,,
13701,Quinoa Pulao,16.01159164,3.593786174,,,,,
13707,Oats Poha,18.15884296,3.816759646,,,,,
13760,Less Oil Jowar Dosa,28.65454545,4.72733234,,,,,
14092,Matar Kulcha,22.24828954,4.249069995,,,,,
14159,Greek Yogurt,6.4,5,,,,,
14250,Beetroot Raita,5.844042793,3.248643084,,,,,
14300,Aloo Sem ki Sabzi,12.85615427,3.120272757,,,,,
14304,Kabuli Chana,12.88959418,4.058116671,,,,,
14338,Mint Tomato Chutney,6.968171091,3.162470501,,,,,
14341,Nutrela Nuggets Brown Rice Pulav,15.04536417,5.085741942,,,,,
14379,Multigrain Toast,37.33333333,7.636363636,,,,,
14387,Gelato Ice Cream,15.87163856,3.628845655,,,,,
14427,Dodha Barfi,20.16979284,3.494813972,,,,,
14488,Achari Chicken,2.035486462,20.23169798,,,,,
14520,Ragi Wheat Chapati,41.53694581,6.206896552,,,,,
14567,Chana Moong Dal,13.2586715,4.772065601,,,,,
14602,Soya Chunks with Capsicum,6.72194051,4.98794161,,,,,
14612,Green Peas Corn Soup,9.491632563,2.437468123,,,,,
14660,Spicy Tomato Bombil Curry,5.346888818,6.072244752,,,,,
14784,Mixed Vegetable Salad,5.219687525,1.068671578,,,,,
15023,Karimeen Fry,3.947321429,12.84065051,,,,,
15034,Veg Toast Sandwich,19.45686926,2.969187675,,,,,
15047,Roti Canai,43.89967327,6.628099174,,,,,
15056,Methi Parantha (Without Oil),32.62666809,6.615373118,,,,,
15099,Tomato Raita,3.60184138,2.633017254,,,,,
15126,Paneer Tikka Biryani,15.98865893,3.180895873,,,,,
15168,Chicken Mandi,10.324446,14.06800294,,,,,
15220,Wheat Ragi Dosa,19.74707317,3.07804878,,,,,
15239,Cholai Ka Saag,4.269564798,2.558160764,,,,,
15252,Dhoodhi Masoor Dal,18.0516827,7.338525855,,,,,
15257,Cucumber Carrot Salad,5.837679351,0.7769078811,,,,,
15288,Godumai Dosai (By Mrs Chandra),28.09,6.3,,,,,
15354,Sambar Rice,14.40762159,2.910345401,,,,,
15358,Fruit Platter,10.12167469,0.6591144868,,,,,
15370,Vegetable Sambar,8.475615612,2.605699292,,,,,
15398,Gyoza,19.06254579,9.035807171,,,,,
15487,Nutrela Pulav,18.37434322,3.998272628,,,,,
15488,Quacker Oats And Milk,12.83460765,4.761368209,,,,,
15509,Soyabean Roasted,32.7,39.6,,,,,
15567,Masala Mandakki,60.11832509,11.52013551,,,,,
15593,Paneer Vegetable Salad,5.700150659,5.720150659,,,,,
15628,Vegetable Noodles Home made,22.28770516,3.542757841,,,,,
15685,Oats Wheat Bran Capsicum Roti,25.75566751,6.022166247,,,,,
15690,Dondakaya Fry,3.475110024,1.60761439,,,,,
15703,Sooji Ki Roti,34.7429155,5.227997725,,,,,
15795,Boiled White Rice With Drained Water,12,1.2,,,,,
15810,Polo,97.9,0,,,,,
15878,Cinnamon Water,0.3403361345,0.01680672269,,,,,
15902,Greek Yogurt,Epigamia,6.2,8,,,,
16004,Mudda Pappu,20.31727842,7.865890779,,,,,
16013,Figs Dried,63.87,3.3,,,,,
16088,Baked Fish Rohu,4.897018634,15.10991718,,,,,
16093,Grapes Black Variety,17.5,1.25,,,,,
16101,Salna,6.061975389,1.471439953,,,,,
16169,Peanut Butter Crunchy,20,26.667,,,,,
16197,Lemon Cinnamon Water,0.3133525654,0.01567071914,,,,,
16249,Icecream Cake,31.05260091,3.576672023,,,,,
16568,Mexican Bean Salad,51.5,18.3,,,,,
16650,Chia Seeds Lassi,8.060929716,2.929982548,,,,,
16738,Palak Roti,34.39019412,6.894075223,,,,,
16837,Whey Protein Shake,0.8,9.6,,,,,
16915,Beef Burger,19.33611116,6.161819465,,,,,
16942,Apple Cider Vinegar In Warm Water,0.08491735537,0.006198347107,,,,,
16978,Soaked Almond,5.741873805,11.37437859,,,,,
16991,Coriander Coconut Chutney,7.548849072,2.031855202,,,,,
17052,BakeSmith Marie Biscuits,77,8,,,,,
17082,Low Fat Milk,Almarai,5,3,,,,
17308,Soaked Walnut,5.534591195,7.849056604,,,,,
17328,Turkish Coffee,3.323623304,0.4142059058,,,,,
17382,Mixed Nuts,26.96333333,17.55833333,,,,,
17391,Sprouts Brown Poha,20.50736349,2.969265659,,,,,
18011,Paneer Grilled with Olive Oil,1.769863014,16.86986301,,,,,
18057,Bircher Muesli,14.99210716,3.438368586,,,,,
18174,Milk With Haldi Without Sugar,4.536133715,3.210413003,,,,,
18269,Whole Wheat Pasta Salad With Vegetables,19.20289925,3.837552403,,,,,
18319,Alfaham Chicken,3.168232401,17.15075647,,,,,
18410,Ghee Idli,23.20477137,3.93638171,,,,,
18470,Ful Medames,13.53154779,4.310572315,,,,,
18534,Dutch Chocolate Shake,Herbalife,50,34.61538462,,,,
18658,Millet Roti,47.96110345,7.057931034,,,,,
18810,Elaichi Banana,19,1,,,,,
18886,Pesarattu Upma,19.16355287,4.943674647,,,,,
18921,Tomato Salad,3.889213845,0.9462436276,,,,,
19070,Lukewarm Amla Water,0.03139561531,0.001145825376,,,,,
19076,Oatmeal Bread,45.96491228,7.964912281,,,,,
19172,White Bread With Amul Butter,41.15418502,6.185022026,,,,,
19338,Khoya Pedha,42.35081446,14.82002384,,,,,
19393,Homemade Thin Crust Vegetable Pizza,28.12122653,7.806721599,,,,,
19394,Homemade Margherita Pizza,28.1041188,9.293387334,,,,,
19396,Lemon Ginger Tea,2.681934972,0.05425852498,,,,,
19466,Cabbage Salad,5.028508772,1.882675439,,,,,
19542,Mutant Whey Protein,19.44444444,61.11111111,,,,,
19583,Cucumber Salad,3.82896704,0.7056659871,,,,,
19631,Oats and Besan Cheela without Oil,24.33694666,6.274676809,,,,,
19632,Oats Crackers,37.84521108,7.02315025,,,,,
19837,Wheat Pasta in Tomato Sauce,19.02022973,4.575520964,,,,,
19846,Jeera Khari,56,12,,,,,
19904,Lamb Intestine,2.3,14.9,,,,,
20175,Ham Burger with Cheese,11.54360297,14.03672393,,,,,
20285,Apple Carrot Beetroot Smoothie,9.393653516,0.4065180103,,,,,
20360,Beet Onion Radish Salad,7.944377339,1.138416323,,,,,
20403,Boiled Palak,2.52173913,1.739130435,,,,,
20474,Fresh Orange Juice without Sugar,10.83333333,0.8333333333,,,,,
20588,Infused Water with Mint Lemon and Cucumber,0.5565645199,0.1360217727,,,,,
20705,Corn Flakes Mix,Patanjali,89.1,5.14,,,,
20707,Peanut Butter,24.24242424,21.21212121,,,,,
20773,Croaker Fish,0,17.72151899,,,,,
20781,Rajma and Chickpea Salad,20.28648354,6.87820876,,,,,
20913,Chocolate Coated Golgappas,26.0252243,6.412228053,,,,,
21012,Green Peas Soup,8.296640354,2.468443322,,,,,
21062,Thirunelveli Halwa,38.54148472,2.466375546,,,,,
21580,Cucumber Carrot Beetroot Salad,6.863883357,0.943997155,,,,,
21730,Low Fat Paneer,3,19,,,,,
21843,Paneer,Double Toned Milk,3.48,10.43,,,,
21899,Aatu Kudal Kulambu,7.962291842,8.580577429,,,,,
22087,Egg Salad,6.042458433,7.613883872,,,,,
22103,Onion Sambar in Masoor dal.,14.25782313,4.597278912,,,,,
22126,Mix Farsan,Garden,40.84,13.4,,,,
22159,Mushrooms in White Sauce,4.227001464,4.124507375,,,,,
22184,Oats Upma with Sprouts,8.81879477,2.137089079,,,,,
22203,Chana Garlic Fry,26.10811334,8.441586663,,,,,
22397,Beans Aspargus Groundnut and Cottage Cheese Salad,8.632862748,6.830957404,,,,,
22644,Soya Matar Pulav,17.594133,3.031467326,,,,,
22670,Potato Chutney,19.68390499,1.515746179,,,,,
